City,Location,Carpet Area,Built-up Area,Super Built-up Area,BHK,Bathrooms,Balcony,Parking,Floor,Total Floors,Property Age,Facing,Property Type,Furnishing,Power Backup,Lift,Security,Swimming Pool,Gym,Garden,Nearby Metro,Nearby Hospital,Nearby School,Nearby Mall,Road Width,Corner Property,East Facing,Latitude,Longitude,Price
Visakhapatnam,Seethammadhara,1282,1538,1922,3,2,0,1,3,15,8,East,Builder Floor,Unfurnished,1,1,1,1,0,1,1,1,1,0,30,1,1,17.7947,83.1882,21557011
Vizianagaram,Cantonment,1272,1526,1907,3,2,2,2,1,4,22,North,Apartment,Semi-Furnished,0,0,1,0,0,0,1,1,1,1,40,0,0,18.0586,83.31,7984746
Vizianagaram,Phool Baugh,519,622,777,1,2,2,1,3,15,16,South,Apartment,Fully Furnished,1,1,0,1,1,0,1,1,1,1,40,1,0,18.0697,83.4169,3228966
Ahmedabad,Bopal,852,1022,1277,2,2,1,2,4,7,20,South,Apartment,Unfurnished,1,0,1,0,0,1,1,1,1,1,30,0,0,23.047,72.6081,5255770
Vijayawada,Moghalrajpuram,849,1018,1272,2,3,3,1,3,4,19,North,Apartment,Unfurnished,0,1,1,0,0,1,1,1,1,0,80,0,0,16.5563,80.6583,10063146
Ahmedabad,Bopal,771,925,1156,2,2,2,1,10,10,1,North,Builder Floor,Unfurnished,1,1,1,0,0,1,1,1,1,1,30,0,0,23.0638,72.6113,6327277
Kurnool,C-Camp,1169,1402,1752,3,4,3,1,8,15,21,North,Apartment,Semi-Furnished,0,0,0,0,0,0,1,1,1,1,30,0,0,15.8648,77.9876,7193018
Delhi,Dwarka,1287,1544,1930,3,4,1,2,6,7,25,West,Apartment,Unfurnished,1,1,0,0,0,1,0,1,0,1,30,0,0,28.5685,77.2618,18147061
Chennai,Anna Nagar,746,895,1118,2,1,1,1,5,10,24,South,Penthouse,Semi-Furnished,0,0,1,0,1,0,1,1,1,1,30,1,0,13.1084,80.2441,16658129
Pune,Baner,559,670,837,1,1,3,0,1,4,21,West,Builder Floor,Semi-Furnished,1,1,1,0,0,0,0,1,1,0,40,1,0,18.4784,73.8106,5190911
Lucknow,Gomti Nagar,1143,1371,1713,3,2,2,1,5,10,3,West,Apartment,Semi-Furnished,1,0,1,0,1,1,1,0,1,0,30,0,0,26.7912,80.9746,13791373
Kadapa,Ravindra Nagar,2060,2472,3090,5,4,1,1,1,10,23,East,Apartment,Fully Furnished,1,1,1,0,1,0,1,1,1,1,30,0,1,14.5532,78.8094,11117946
Tirupati,Renigunta Road,798,957,1196,2,1,2,0,3,4,3,West,Apartment,Unfurnished,0,1,0,0,0,0,1,1,1,1,40,0,0,13.6154,79.3844,5923017
Lucknow,Indira Nagar,1266,1519,1898,3,3,2,1,12,40,9,South,Apartment,Semi-Furnished,1,1,1,0,1,1,0,1,1,0,30,1,0,26.8334,80.9704,12087867
Mumbai,Borivali,707,848,1060,2,3,2,1,6,15,18,South,Apartment,Semi-Furnished,1,1,1,0,1,0,1,1,1,0,30,0,0,19.0509,72.9056,23090250
Bangalore,Jayanagar,964,1156,1445,2,3,1,2,1,3,20,South,Villa,Semi-Furnished,1,0,0,1,0,1,0,1,1,0,30,0,0,13.0098,77.6575,19665890
Vizianagaram,Cantonment,1238,1485,1856,3,4,1,0,3,4,7,South,Apartment,Semi-Furnished,1,0,1,0,0,0,1,1,1,0,20,0,0,18.1381,83.4079,9356532
Kolkata,Salt Lake,1306,1567,1958,3,3,3,1,4,4,13,West,Apartment,Semi-Furnished,0,1,1,0,0,1,0,1,0,1,30,0,0,22.5996,88.4081,19245084
Guntur,Arundelpet,820,984,1230,2,2,2,1,8,10,16,West,Apartment,Semi-Furnished,1,1,0,0,0,1,1,0,1,1,20,0,0,16.3347,80.5491,8325753
Kurnool,Nandyal Road,763,915,1143,2,2,1,2,4,7,0,East,Apartment,Unfurnished,1,1,1,0,0,1,1,1,1,1,20,0,1,15.8724,78.0488,5748333
Ahmedabad,Prahlad Nagar,1375,1650,2062,3,3,2,2,4,7,12,North,Apartment,Unfurnished,1,1,1,0,0,1,0,1,1,1,40,0,0,23.001,72.5368,14175345
Guntur,Arundelpet,1241,1489,1861,3,3,1,2,2,4,16,West,Apartment,Semi-Furnished,1,1,1,0,0,0,1,0,1,1,60,0,0,16.3133,80.503,13169313
Jaipur,C-Scheme,1246,1495,1868,3,3,3,1,8,15,7,East,Apartment,Semi-Furnished,1,1,1,1,0,1,0,1,0,1,40,0,1,26.899,75.7427,19500264
Rajahmundry,Ramanayyapeta,383,459,573,1,2,1,1,9,10,9,West,Apartment,Semi-Furnished,1,0,0,0,0,0,1,1,1,1,60,1,0,17.0284,81.8499,2069502
Visakhapatnam,Madhurawada,512,614,767,1,2,1,1,1,4,21,North,Apartment,Fully Furnished,1,1,1,0,0,1,1,1,1,1,30,0,0,17.7265,83.1311,5146894
Vizianagaram,KL Puram,866,1039,1298,2,2,0,1,15,20,19,North,Apartment,Unfurnished,1,1,0,0,0,1,1,1,1,1,20,0,0,18.0719,83.4201,3712115
Bangalore,Koramangala,453,543,678,1,1,0,2,3,4,14,East,Apartment,Unfurnished,0,1,1,0,0,1,1,1,1,0,30,1,1,12.8946,77.5203,8421457
Hyderabad,Secunderabad,461,553,691,1,1,1,1,13,20,18,West,Penthouse,Semi-Furnished,1,1,1,0,1,0,1,1,1,1,20,1,0,17.3996,78.5317,5455024
Kadapa,Co-operative Colony,1107,1328,1660,3,2,1,2,34,40,10,West,Apartment,Unfurnished,0,1,0,1,0,1,1,1,1,1,40,0,0,14.4844,78.8747,8755526
Chennai,OMR,915,1098,1372,2,2,2,2,5,15,13,North,Builder Floor,Semi-Furnished,1,1,1,0,0,1,1,1,1,0,30,1,0,13.1124,80.1237,8961426
Kurnool,Kallur,913,1095,1368,2,2,2,1,2,7,8,South,Apartment,Unfurnished,1,1,1,0,0,1,0,0,0,0,40,0,0,15.8371,78.0446,4772147
Ahmedabad,Satellite,1359,1630,2037,3,3,0,1,13,20,1,East,Apartment,Unfurnished,1,0,1,1,1,0,0,1,1,0,80,0,1,23.064,72.5617,17930724
Eluru,RR Peta,857,1028,1285,2,3,2,1,1,4,22,North,Apartment,Semi-Furnished,1,1,1,0,0,1,1,1,1,0,60,0,0,16.6759,81.1806,5337865
Delhi,Dwarka,1226,1471,1838,3,2,2,2,10,10,17,South,Apartment,Unfurnished,1,1,1,0,1,0,1,1,1,1,40,1,0,28.6568,77.2166,24069532
Kadapa,RIMS Area,755,906,1132,2,3,0,0,3,7,24,South,Apartment,Semi-Furnished,1,1,0,0,0,0,0,1,1,0,40,0,0,14.4714,78.7739,4041812
Jaipur,Mansarovar,845,1014,1267,2,2,2,0,1,4,12,South,Apartment,Fully Furnished,1,1,1,0,0,0,1,1,1,0,60,0,0,26.8689,75.8436,6536006
Eluru,Vatluru,1164,1396,1745,3,4,1,1,2,4,20,South,Apartment,Unfurnished,1,1,1,0,0,1,1,0,1,0,20,1,0,16.7564,81.0553,4172312
Chennai,Adyar,855,1026,1282,2,2,1,0,10,10,14,West,Apartment,Fully Furnished,1,1,1,0,1,0,1,1,1,1,30,0,0,13.1005,80.3091,19822638
Ahmedabad,Satellite,1144,1372,1715,3,3,1,1,4,7,12,North,Apartment,Unfurnished,1,1,1,0,0,1,1,1,1,1,20,0,0,23.0609,72.6438,13773110
Lucknow,Hazratganj,966,1159,1448,2,3,1,0,1,15,16,North,Builder Floor,Unfurnished,1,1,1,0,0,0,1,1,1,1,60,0,0,26.8469,80.8649,13000759
Pune,Kothrud,922,1106,1382,2,1,0,1,1,4,16,South,Apartment,Unfurnished,1,1,0,0,0,1,1,1,1,1,80,0,0,18.5616,73.8527,10960658
Chennai,Velachery,2159,2590,3237,5,6,2,2,2,7,1,North,Apartment,Semi-Furnished,1,1,1,0,0,1,1,1,1,1,30,0,0,13.1059,80.298,35824404
Lucknow,Hazratganj,469,562,702,1,1,2,0,1,1,2,South,Villa,Unfurnished,1,0,1,1,0,1,0,1,1,0,40,0,0,26.7534,80.9966,9164539
Anantapur,Kalyandurg Road,790,948,1185,2,2,2,0,23,40,9,North,Builder Floor,Fully Furnished,0,0,1,0,1,1,1,1,1,1,30,0,0,14.7209,77.5861,4023686
Ahmedabad,Prahlad Nagar,831,997,1246,2,3,2,1,3,7,15,North,Apartment,Unfurnished,1,0,1,0,0,1,0,1,0,1,20,0,0,23.0754,72.5474,7259955
Kakinada,Pithapuram Road,978,1173,1466,2,3,1,0,6,10,5,East,Apartment,Semi-Furnished,1,0,1,0,1,0,0,1,1,1,40,0,1,17.0187,82.3173,5397609
Pune,Koregaon Park,905,1086,1357,2,1,1,1,6,7,20,West,Builder Floor,Semi-Furnished,0,1,1,0,0,0,1,1,1,0,40,0,0,18.441,73.8963,16577724
Eluru,Eluru Bypass,490,588,735,1,1,1,0,7,15,5,East,Builder Floor,Fully Furnished,1,1,0,0,0,0,1,1,1,1,30,0,1,16.7924,80.9955,2780873
Tirupati,Renigunta Road,1227,1472,1840,3,4,0,0,1,1,13,West,Villa,Unfurnished,1,0,1,0,0,1,0,1,1,1,30,0,0,13.641,79.4885,9792244
Visakhapatnam,Gajuwaka,1194,1432,1790,3,3,1,2,7,20,13,South,Builder Floor,Semi-Furnished,1,1,1,0,0,0,1,1,1,1,60,0,0,17.7,83.2659,10128195
Mumbai,Bandra,718,861,1076,2,2,0,0,20,40,21,North,Apartment,Semi-Furnished,1,1,0,0,0,1,1,0,1,0,40,1,0,19.0645,72.8315,47093247
Anantapur,Maruthi Nagar,876,1051,1313,2,2,1,0,4,7,23,West,Apartment,Semi-Furnished,1,0,1,0,0,0,1,1,1,0,40,0,0,14.7506,77.6484,4866013
Lucknow,Gomti Nagar,1147,1376,1720,3,3,1,2,3,4,25,East,Apartment,Unfurnished,1,1,1,0,0,1,1,1,1,0,30,0,1,26.8303,80.865,10684301
Hyderabad,Gachibowli,1205,1446,1807,3,3,1,2,2,15,2,South,Apartment,Semi-Furnished,1,0,1,1,0,1,1,1,1,1,40,0,0,17.3997,78.475,18377413
Tirupati,Alipiri,768,921,1151,2,1,3,2,1,7,10,South,Apartment,Semi-Furnished,1,1,1,0,0,1,1,1,1,1,20,0,0,13.5906,79.4211,9080231
Jaipur,C-Scheme,994,1192,1490,2,2,1,2,2,20,25,North,Builder Floor,Semi-Furnished,1,1,0,1,0,1,1,1,1,1,40,0,0,26.8887,75.7858,13151360
Mumbai,Andheri,941,1129,1411,2,2,3,1,18,20,6,North,Apartment,Semi-Furnished,0,0,1,0,1,1,1,1,1,1,60,0,0,19.0187,72.8095,50824619
Kolkata,Salt Lake,836,1003,1253,2,1,2,1,17,20,11,North,Apartment,Semi-Furnished,0,0,1,0,1,0,1,1,1,1,30,0,0,22.5388,88.4121,13187336
Kakinada,Sarpavaram,1221,1465,1831,3,3,0,0,14,15,6,North,Apartment,Semi-Furnished,1,1,1,1,0,1,1,1,1,1,30,0,0,17.0156,82.1496,8552527
Kurnool,Joharapuram,1344,1612,2015,3,2,1,1,5,7,25,East,Apartment,Semi-Furnished,1,1,1,0,0,1,1,1,1,0,40,0,1,15.8456,78.0662,5996585
Mumbai,Thane,1217,1460,1825,3,3,1,1,3,30,10,East,Apartment,Fully Furnished,0,0,1,0,0,0,1,1,1,1,30,0,1,19.0906,72.8781,34809748
Lucknow,Charbagh,702,842,1052,2,2,1,2,4,10,10,West,Apartment,Semi-Furnished,1,1,1,0,0,1,0,1,0,1,30,0,0,26.907,81.0837,4364648
Anantapur,Maruthi Nagar,510,612,765,1,1,2,1,29,30,25,East,Apartment,Unfurnished,1,1,1,0,1,0,1,1,1,1,30,0,1,14.7336,77.6149,3009721
Lucknow,Indira Nagar,1180,1416,1770,3,3,0,1,38,40,24,North,Apartment,Semi-Furnished,1,1,1,0,0,1,1,0,1,1,40,0,0,26.8837,80.987,8947329
Ahmedabad,Satellite,721,865,1081,2,1,2,0,2,4,15,West,Apartment,Semi-Furnished,1,1,1,0,0,1,0,1,1,1,30,1,0,23.145,72.5126,8147332
Guntur,Arundelpet,2086,2503,3128,5,6,1,1,6,7,5,North,Apartment,Unfurnished,1,0,1,0,0,1,1,1,1,1,40,0,0,16.3951,80.4119,23907738
Anantapur,Housing Board Colony,1638,1965,2456,4,5,1,1,12,40,17,South,Apartment,Unfurnished,1,1,1,1,0,1,0,1,1,0,60,0,0,14.7623,77.6183,9044256
Mumbai,Borivali,541,649,811,1,1,2,1,11,20,14,South,Apartment,Unfurnished,1,1,1,1,1,1,1,0,1,0,30,0,0,19.057,72.8866,18466518
Kakinada,NFCL Road,1643,1971,2463,4,4,1,2,11,15,20,North,Apartment,Fully Furnished,1,0,1,1,1,1,1,0,1,0,30,1,0,17.0063,82.2629,9583692
Kadapa,Ravindra Nagar,1170,1404,1755,3,3,1,2,4,4,14,East,Apartment,Unfurnished,0,0,0,0,0,0,0,1,1,0,40,1,1,14.4009,78.7574,5419055
Hyderabad,Secunderabad,303,363,453,1,1,1,2,2,4,22,North,Builder Floor,Unfurnished,0,1,1,0,0,0,1,1,1,0,40,0,0,17.4308,78.4592,2109240
Delhi,South Delhi,388,465,581,1,1,2,2,3,3,6,East,Villa,Fully Furnished,1,0,0,0,0,1,1,1,1,0,80,1,1,28.5287,77.1628,20542168
Ahmedabad,Prahlad Nagar,1728,2073,2591,4,4,2,0,7,10,7,East,Apartment,Fully Furnished,0,1,0,0,1,1,1,1,1,1,40,0,1,23.0848,72.5433,20449343
Lucknow,Hazratganj,1575,1890,2362,4,4,2,1,1,1,20,West,Villa,Unfurnished,1,0,1,1,0,0,1,1,1,1,40,0,0,26.7967,80.907,26653713
Nellore,Vedayapalem,886,1063,1328,2,2,0,1,2,2,16,West,Villa,Semi-Furnished,1,0,1,0,0,0,0,1,1,1,80,1,0,14.468,80.1828,6341361
Anantapur,Maruthi Nagar,1636,1963,2453,4,5,0,2,7,7,11,East,Apartment,Semi-Furnished,0,1,1,0,0,1,0,0,1,1,40,0,1,14.7383,77.6095,10705607
Chennai,Velachery,891,1069,1336,2,2,0,2,5,7,18,West,Apartment,Semi-Furnished,1,1,1,0,0,0,1,1,1,1,40,0,0,13.1265,80.3443,12613306
Bangalore,Koramangala,1309,1570,1962,3,4,1,0,6,10,11,North,Builder Floor,Fully Furnished,1,0,1,0,0,1,0,1,1,1,20,0,0,13.0149,77.6029,28261415
Kurnool,Budhavarapeta,404,484,605,1,1,1,0,23,30,3,North,Apartment,Fully Furnished,1,1,1,1,1,1,0,1,1,1,30,1,0,15.8489,78.0051,3179633
Pune,Koregaon Park,390,468,585,1,2,2,0,18,30,9,East,Apartment,Semi-Furnished,1,1,0,0,0,0,1,1,1,1,60,0,1,18.5698,73.8726,8170799
Kolkata,New Town,1319,1582,1977,3,4,1,1,7,7,19,East,Builder Floor,Semi-Furnished,1,1,1,0,0,1,1,1,1,1,40,0,1,22.6303,88.338,13962135
